Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
TRAFFIC HANDLED AT MAJOR PORTS,,,,,,,,,,
"(DURING APRIL TO MARCH, 2025* VIS-A-VIS APRIL TO MARCH, 2024)",,,,,,,,,,
,,,,,,,,,,
(*)   TENTATIVE,,,,,,,,,,(IN ' 000 TONNES)
,PORTS,,,APRIL TO MARCH,,,,,,% VARIATION 
,,TARGET,,TRAFFIC,,,,TARGET,,AGAINST PREV. 
,,2024,,2025*,,2024.0,,,,YEAR TRAFFIC
,1,2,,2,,3.0,,5,,4
,"SMP, KOLKATA",,,,,,,,,
,Kolkata Dock System,-,,16641,,16909.0,,-,,-1.58
,Haldia Dock Complex,-,,47310,,49536.0,,-,,-4.49
,"TOTAL: SMP, KOLKATA",0,,63951,,66445.0,,,,-3.75
,PARADIP,-,,150408,,145379.0,,-,,3.46
,VISAKHAPATNAM,-,,82623,,81090.0,,-,,1.89
,KAMARAJAR (ENNORE),-,,48407,,45277.0,,-,,6.91
,CHENNAI,-,,54963,,51598.0,,-,,6.52
,V.O. CHIDAMBARANAR,-,,41724,,41402.0,,-,,0.78
,COCHIN,-,,37745,,36315.0,,-,,3.94
,NEW MANGALORE,0,,46014,,45707.0,,,,0.67
,MORMUGAO,-,,18126,,20628.0,,-,,-12.13
,MUMBAI,0,,68625,,67261.0,,,,2.03
,JNPA,-,,92115,,85818.0,,-,,7.34
,DEENDAYAL,TARGET,,150157,,132374.0,,,,13.43
,TOTAL:,-,,854858,,819294.0,,-,,4.34
